ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
10218900,01/01/2014 12:00:00 AM,PROSTITUTION,PIMPING,RESIDENCE,True,True,1213.0,12.0,1.0,41.9012171824,-87.6674341525
10302704,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,1513.0,15.0,29.0,41.8812386309,-87.7665402283
10665759,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,624.0,6.0,8.0,,
10222575,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,421.0,4.0,7.0,41.754462301,-87.5662880103
10637246,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,1711.0,17.0,39.0,,
10632432,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,823.0,8.0,16.0,,
10459449,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,False,False,931.0,9.0,16.0,,
11025331,01/01/2014 12:00:00 AM,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,True,822.0,8.0,14.0,,
10305018,01/01/2014 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,824.0,8.0,16.0,41.7856952363,-87.6862567383
13003433,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,931.0,9.0,20.0,,
12217163,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,2535.0,25.0,26.0,,
10802279,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1134.0,11.0,28.0,,
12048390,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,533.0,5.0,9.0,,
12158818,01/01/2014 12:00:00 AM,SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,RESIDENCE,False,True,1124.0,11.0,27.0,,
11436838,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,213.0,2.0,3.0,,
10462123,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,False,False,2515.0,25.0,37.0,,
10863871,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1532.0,15.0,28.0,,
10408046,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,False,813.0,8.0,13.0,,
10273961,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,False,1914.0,19.0,46.0,41.9647980321,-87.6547819395
10747636,01/01/2014 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,False,True,915.0,9.0,11.0,,
10098334,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,931.0,9.0,20.0,41.8078532782,-87.6685926463
10409138,01/01/2014 12:00:00 AM,SEX OFFENSE,INDECENT SOLICITATION/CHILD,APARTMENT,False,False,334.0,3.0,7.0,,
12656269,01/01/2014 12:00:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,1223.0,12.0,27.0,,
12674892,01/01/2014 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,2514.0,25.0,31.0,,
10518074,01/01/2014 12:00:00 AM,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,1014.0,10.0,24.0,,
10800723,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,True,False,1234.0,12.0,25.0,,
12304342,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2511.0,25.0,36.0,,
10655758,01/01/2014 12:00:00 AM,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,1115.0,11.0,28.0,,
10778365,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2424.0,24.0,49.0,,
12629745,01/01/2014 12:00:00 AM,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,533.0,5.0,9.0,41.6549495271,-87.6075571348
11729541,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1914.0,19.0,46.0,,
12630024,01/01/2014 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,2234.0,22.0,34.0,,
10439746,01/01/2014 12:00:00 AM,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,511.0,5.0,8.0,,
